text,username,timestamp
ppPoof,talentedg,"2022-07-02 20:22:50,587"
ppPoof,megaphonix,"2022-07-02 20:22:50,675"
ppPoof,itwyrm,"2022-07-02 20:22:50,675"
ppPoof,daruudster,"2022-07-02 20:22:50,790"
ppPoof,jesseius,"2022-07-02 20:22:50,927"
ppPoof,venomplays777,"2022-07-02 20:22:50,927"
ppPoof,tiamani,"2022-07-02 20:22:50,927"
ppPoof,batilive,"2022-07-02 20:22:51,064"
LETSGO,edd_die,"2022-07-02 20:22:51,064"
ppPoof,vraix,"2022-07-02 20:22:51,064"
UTERINE CONTRACTIONS,apathyangelnyc,"2022-07-02 20:22:51,200"
ppPoof,johnex1891,"2022-07-02 20:22:51,334"
PPpOOF,coconutoaf,"2022-07-02 20:22:51,334"
peepoT yeet,polterghoul,"2022-07-02 20:22:51,334"
ppPoof,registerxor,"2022-07-02 20:22:51,470"
@hasanabi Isn’t it possible to argue that a dnr order on a suffering child by a parent or guardian is similar to an abortion?,flavorpoundtown,"2022-07-02 20:22:51,470"
ppL,ajaymakeitmane,"2022-07-02 20:22:51,470"
🥜 hasTasty,alphasimply,"2022-07-02 20:22:51,470"
ppPoof,captainlancemurdock,"2022-07-02 20:22:51,470"
julyFirst,eric_ttfy,"2022-07-02 20:22:51,607"
ppPoof,kalerwenisreal,"2022-07-02 20:22:51,607"
ppPoof,gammadaa,"2022-07-02 20:22:51,747"
ppPoof,baronayaya,"2022-07-02 20:22:51,886"
ppPoof 󠀀,megaphonix,"2022-07-02 20:22:51,886"
Chatting this gone look like a long chat but im only sayin bla bla : bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla,teaman_loves_weman,"2022-07-02 20:22:51,886"
ppPoof,vegates_,"2022-07-02 20:22:51,886"
The fetus needs to be a valuable asset for capitalism.,derzerglin,"2022-07-02 20:22:52,020"
"@teaman_loves_weman, Message is too repetitive [warning]",fossabot,"2022-07-02 20:22:52,155"
5x ppPoof combo POGGIES,fossabot,"2022-07-02 20:22:52,155"
ppPoof,chirp_em,"2022-07-02 20:22:53,355"
@hasanabi libertarians on TikTok don’t believe that. They think abortion violates that. KEKL,trvppapi,"2022-07-02 20:22:53,502"
RIPBOZO FETUS,junieee__,"2022-07-02 20:22:53,637"
ppPoof,unumbium,"2022-07-02 20:22:53,637"
"@hasanabi theres a type of tumor that can grow hair, teeth, nails etc. it cracks me up when anti choice losers talk about baby growing nails and shit lmao",hayaletsewgilim,"2022-07-02 20:22:53,637"
ppPoof,nickledillpickle,"2022-07-02 20:22:53,637"
ppPoof,the_forgottn,"2022-07-02 20:22:53,637"
yeetus,notbeelzaboot,"2022-07-02 20:22:53,773"
FEETUS DELETEUS NODDERS,kiweewee,"2022-07-02 20:22:53,937"
ppPoof,dreambops,"2022-07-02 20:22:54,070"
ppPoof YEETUS THE FETUS,schizo_andy,"2022-07-02 20:22:54,183"
ppPoof,nizzm0_,"2022-07-02 20:22:54,321"
ppPoof,arsenyshalin,"2022-07-02 20:22:54,321"
feetus deletus],natsukun,"2022-07-02 20:22:54,458"
julyFirst,davesheremannn,"2022-07-02 20:22:54,458"
postingWavey,isotropicthunder,"2022-07-02 20:22:54,595"
ppPoof,hugegamer96,"2022-07-02 20:22:54,595"
YEP,donotcome6969,"2022-07-02 20:22:54,735"
