date,sentiment,topic,sentiment_avg
2020-04-23,-0.936101141,JUST CHATTING,-0.936101141
2020-04-24,-0.947064897,JUST CHATTING,-0.947064897
2020-04-25,-0.872868984,JUST CHATTING,-0.872868984
2020-04-26,-0.978043407,JUST CHATTING,-0.978043407
2020-04-29,-0.950812833,JUST CHATTING,-0.950812833
2020-05-01,-0.933164942,JUST CHATTING,-0.933164942
2020-05-02,-0.683399307,JUST CHATTING,-0.683399307
2020-05-03,-0.894269599,JUST CHATTING,-0.894269599
2020-05-04,-0.63256158,JUST CHATTING,-0.63256158
2020-05-07,-0.706749173,JUST CHATTING,-0.853503586
2020-05-08,-0.603636396,JUST CHATTING,-0.820257112
2020-05-09,-0.982689982,JUST CHATTING,-0.82381962
2020-05-09,-0.682495064,JUST CHATTING,-0.804782228
2020-05-10,-0.522809015,JUST CHATTING,-0.759258789
2020-05-13,-0.858205109,JUST CHATTING,-0.749998017
2020-05-14,-0.500804303,JUST CHATTING,-0.706761953
2020-05-15,-0.556024436,JUST CHATTING,-0.694024466
2020-05-16,-0.565807232,JUST CHATTING,-0.661178229
2020-05-17,-0.647227424,JUST CHATTING,-0.662644813
2020-05-20,-0.654099175,JUST CHATTING,-0.657379814
2020-05-21,-0.510800151,JUST CHATTING,-0.648096189
2020-05-22,-0.578413459,JUST CHATTING,-0.607668537
2020-05-23,-0.866706654,JUST CHATTING,-0.626089696
2020-05-24,-0.528474929,JUST CHATTING,-0.626656287
2020-05-28,-0.933066942,JUST CHATTING,-0.63414247
2020-05-29,-0.88287422,JUST CHATTING,-0.672349462
2020-05-30,-0.746959458,JUST CHATTING,-0.691442964
2020-06-01,-0.511437241,JUST CHATTING,-0.686005965
2020-06-04,-0.977049119,JUST CHATTING,-0.718988135
2020-06-05,-0.786509103,JUST CHATTING,-0.732229128
2020-06-06,-0.758238706,JUST CHATTING,-0.756972983
2020-06-07,-0.715822209,JUST CHATTING,-0.770713858
2020-06-08,-0.751323681,JUST CHATTING,-0.759175561
2020-06-10,-0.768947037,JUST CHATTING,-0.783222771
2020-06-11,-0.880730725,JUST CHATTING,-0.77798915
2020-06-12,-0.953348887,JUST CHATTING,-0.785036617
2020-06-13,-0.817375079,JUST CHATTING,-0.792078179
2020-06-14,-0.538006558,JUST CHATTING,-0.79473511
2020-06-17,-0.631176382,JUST CHATTING,-0.760147837
2020-06-18,-0.704844371,JUST CHATTING,-0.751981364
2020-06-19,-0.785241662,JUST CHATTING,-0.754681659
2020-06-20,-0.524567419,JUST CHATTING,-0.73555618
2020-06-21,-0.759146167,JUST CHATTING,-0.736338429
2020-06-24,-0.633175766,JUST CHATTING,-0.722761302
2020-06-25,-0.610881187,JUST CHATTING,-0.695776348
2020-06-26,-0.690284934,JUST CHATTING,-0.669469952
2020-06-27,-0.669861058,JUST CHATTING,-0.65471855
2020-06-28,-0.597346837,JUST CHATTING,-0.660652578
2020-07-02,-0.956338463,JUST CHATTING,-0.693168786
2020-07-03,-0.928823624,JUST CHATTING,-0.715566712
2020-07-05,-0.706085179,JUST CHATTING,-0.707651063
2020-07-06,-0.775600544,JUST CHATTING,-0.732754376
2020-07-09,-0.667550055,JUST CHATTING,-0.723594765
2020-07-09,-0.727081658,JUST CHATTING,-0.732985354
2020-07-10,-0.757551297,JUST CHATTING,-0.747652365
2020-07-11,-0.947581103,JUST CHATTING,-0.773381982
