date,sentiment,topic,sentiment_avg
2022-07-07,0.462419522,VALORANT,0.462419522
2022-07-08,0.198244593,Fall Guys,0.198244593
2022-07-09,-0.433811068,Fall Guys,-0.433811068
2022-07-10,0.10799985,Fall Guys,0.10799985
2022-07-11,0.718767772,Just Chatting,0.718767772
2022-07-12,0.322227929,Fall Guys,0.322227929
2022-07-13,0.182760842,Fall Guys,0.182760842
2022-07-14,0,Fall Guys,0
2022-07-15,0,Just Chatting,0
2022-07-16,0.150557378,Fall Guys,0.150557378
2022-07-17,-0.469515796,Fall Guys,-0.469515796
2022-07-18,0.693678905,Fall Guys,0.693678905
2022-07-19,0.722554699,Fall Guys,0.722554699
2022-07-20,-0.230070446,Just Chatting,-0.230070446
2022-07-21,0.23708092,Fall Guys,0.23708092
2022-07-22,0.750322341,VALORANT,0.750322341
2022-07-23,0.450854561,Fall Guys,0.450854561
2022-07-24,0.726029535,Just Chatting,0.726029535
2022-07-25,-0.069170769,Just Chatting,-0.069170769
2022-07-26,0.487017086,Fall Guys,0.487017086
2022-07-27,0.379237271,Fall Guys,0.379237271
2022-07-28,0.800114955,Just Chatting,0.800114955
2022-07-29,-0.024452806,Fall Guys,-0.024452806
2022-07-30,0.565173046,VALORANT,0.565173046
