date,sentiment,topic,sentiment_avg
2022-07-07,0,Just Chatting,0
2022-07-08,-0.338436352,Just Chatting,-0.338436352
2022-07-09,-0.190252168,Just Chatting,-0.190252168
2022-07-10,-0.1970372,Just Chatting,-0.1970372
2022-07-11,0.287108911,Just Chatting,0.287108911
2022-07-12,0.572513084,Just Chatting,0.572513084
2022-07-13,0.273504771,Just Chatting,0.273504771
2022-07-14,0.854812103,Just Chatting,0.854812103
2022-07-15,0.797307066,Just Chatting,0.797307066
2022-07-16,0.504109895,Just Chatting,0.504109895
2022-07-17,-0.310100953,Just Chatting,-0.310100953
2022-07-18,0.41643175,Just Chatting,0.41643175
2022-07-19,0.010229354,Just Chatting,0.010229354
2022-07-20,0.239549605,Just Chatting,0.239549605
2022-07-21,0.019379344,Just Chatting,0.019379344
2022-07-22,0.867789959,Just Chatting,0.867789959
2022-07-23,0.598848343,Just Chatting,0.598848343
2022-07-24,0.122079322,Just Chatting,0.122079322
2022-07-25,0.689437187,Just Chatting,0.689437187
2022-07-26,0,Just Chatting,0
2022-07-27,0,Just Chatting,0
2022-07-28,-0.22687696,Just Chatting,-0.22687696
2022-07-29,0.342178687,Just Chatting,0.342178687
2022-07-30,0.127092045,Just Chatting,0.127092045
