date,sentiment,topic,sentiment_avg
7/7/22,0.426274305,Apex Legends,0.426274305
7/8/22,0,Apex Legends,0
7/9/22,-0.206958992,Apex Legends,-0.206958992
7/10/22,0.293097165,Apex Legends,0.293097165
7/11/22,-0.301941166,Apex Legends,-0.301941166
7/12/22,0,Apex Legends,0
7/13/22,0.397256717,Apex Legends,0.397256717
7/14/22,0.637009586,Apex Legends,0.637009586
7/15/22,0.844931438,Apex Legends,0.844931438
7/16/22,0.864855719,Apex Legends,0.864855719
7/17/22,0.221481487,Apex Legends,0.221481487
7/18/22,0.422861092,Apex Legends,0.422861092
7/19/22,0.767920854,Apex Legends,0.767920854
7/20/22,0.410298295,VALORANT,0.410298295
7/21/22,0.136128733,VALORANT,0.136128733
7/22/22,0.536394547,VALORANT,0.536394547
7/23/22,0.518125153,VALORANT,0.518125153
7/24/22,-0.04474395,VALORANT,-0.04474395
7/25/22,-0.351421672,VALORANT,-0.351421672
7/26/22,-0.146719168,VALORANT,-0.146719168
7/27/22,0.10014974,VALORANT,0.10014974
7/28/22,0.266080576,VALORANT,0.266080576
7/29/22,0.208946467,VALORANT,0.208946467
7/30/22,-0.088431184,Apex Legends,-0.088431184
