text,username,timestamp,message_id,channel_id,stream_id,unique_id,sentiment_a,sentiment_g
THAT FEAR,jonlevir,"2022-06-10 08:08:17,236",1,B,1,1B1,,-1
Hai PoisonmMom!,jonlevir,"2022-06-10 08:08:40,504",2,B,1,2B1,,1
dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD,nysnarkexchange,"2022-06-10 08:08:41,697",3,B,1,3B1,,1
HAIII,whoinvitedjez,"2022-06-10 08:08:45,305",4,B,1,4B1,,1
HAI MOMMA POISON!!!!! And Hai @emerald__arrows !!!!,sparrocat,"2022-06-10 08:08:45,380",5,B,1,5B1,,1
hi mom :),jesx,"2022-06-10 08:08:45,764",6,B,1,6B1,,1
hi PoisonMom,baysidetaco,"2022-06-10 08:08:46,841",7,B,1,7B1,,1
hi ma,nysnarkexchange,"2022-06-10 08:08:47,063",8,B,1,8B1,,1
LUL,kellytheslayer,"2022-06-10 08:08:49,145",9,B,1,9B1,,1
LUL,amethystmoon101,"2022-06-10 08:08:53,840",10,B,1,10B1,,1
the wholesome switch for mama poison is so cute,esnueil,"2022-06-10 08:08:53,880",11,B,1,11B1,,1
what was the ghost dragon sperm pokemon again @dippedinpoison ?,freebah,"2022-06-10 08:08:53,919",12,B,1,12B1,,0
Hey Mom :),craig_johno,"2022-06-10 08:08:53,998",13,B,1,13B1,,1
"aahhh it's huge
""
",kaybruh,"2022-06-10 08:08:55,923",14,B,1,14B1,,0
HI MOM,dryydenn,"2022-06-10 08:08:57,749",15,B,1,15B1,,1
poison??? inappropriate?? never,commanderluthor,"2022-06-10 08:09:04,045",16,B,1,16B1,,0
everyone act natural! pixiie2Sip,pixiierin,"2022-06-10 08:09:04,318",17,B,1,17B1,,1
Hello Auntie!!!!,si3dprinting,"2022-06-10 08:09:05,139",18,B,1,18B1,,1
holy,kellytheslayer,"2022-06-10 08:09:05,843",19,B,1,19B1,,1
Hey mooom,drachenwaffles,"2022-06-10 08:09:06,367",20,B,1,20B1,,1
@Freebah whaa,frolicchris,"2022-06-10 08:09:07,520",21,B,1,21B1,,0
"OK here I go ""HI Babyyyyy""",emerald__arrows,"2022-06-10 08:09:09,199",22,B,1,22B1,,1
dippedinLOVE dippedinLOVE dippedinLOVE dippedinLOVE,boss_churros,"2022-06-10 08:09:11,722",23,B,1,23B1,,1
PrideLionHey PrideLionChomp PrideLionHey PrideLionChomp PrideLionHey PrideLionChomp PrideLionHey PrideLionChomp,cmorrigu,"2022-06-10 08:09:13,594",24,B,1,24B1,,1
Precious,amethystmoon101,"2022-06-10 08:09:16,304",25,B,1,25B1,,1
"You weren't kidding when you said that it's giant
""
",carlos_sferreira,"2022-06-10 08:09:17,113",26,B,1,26B1,,0
@freebah Dreepy,sparrocat,"2022-06-10 08:09:18,392",27,B,1,27B1,,0
Awww you’re so cute lol. Like a kid showing off a new achievement to their parent,cosmicflames27,"2022-06-10 08:09:19,400",28,B,1,28B1,,1
"So how's the maternity leave going? LUL dippedinGIBFLOWER
""
",iridescentr0se,"2022-06-10 08:09:21,735",29,B,1,29B1,,1
"@Esnueil What do you mean? Everyone here is always wholesome, including MJ",theharmpo,"2022-06-10 08:09:24,416",30,B,1,30B1,,1
"""OMG, you needed one more thing""",emerald__arrows,"2022-06-10 08:09:25,485",31,B,1,31B1,,1
MUUUUUMMMM,trash_panda_g,"2022-06-10 08:09:27,474",32,B,1,32B1,,1
i steal,gamergirl_5h,"2022-06-10 08:09:30,606",33,B,1,33B1,,-1
dippedinHI,lucifer4431,"2022-06-10 08:09:31,657",34,B,1,34B1,,1
@TheHarmpo exactly!!!,esnueil,"2022-06-10 08:09:31,851",35,B,1,35B1,,1
proud to be a devil worshiper huh what a clown,xx_jimjim_xx,"2022-06-10 08:09:32,145",36,B,1,36B1,,0
"I'm the quiji board.
""
",emerald__arrows,"2022-06-10 08:09:32,483",37,B,1,37B1,,0
SeemsGood LUL,fr0z3nfury009,"2022-06-10 08:09:33,026",38,B,1,38B1,,1
ROFL,jonlevir,"2022-06-10 08:09:33,130",39,B,1,39B1,,1
also hi HARM!!!,esnueil,"2022-06-10 08:09:38,820",40,B,1,40B1,,1
we love giant baby,fisheeprice,"2022-06-10 08:09:38,866",41,B,1,41B1,,1
HARMMM hi harm 💕,divdoesthings,"2022-06-10 08:09:39,895",42,B,1,42B1,,1
@TheHarmpo hewwooooo,amethystmoon101,"2022-06-10 08:09:41,646",43,B,1,43B1,,1
YOU ARE AN ENTIRE FUCKING VIBE HOLY FUCK,rararlo,"2022-06-10 08:09:41,967",44,B,1,44B1,,0
HAHAHAHAHAHAHAHHAHAA,lenoxfilms,"2022-06-10 08:09:43,533",45,B,1,45B1,,1
dippedinHI dippedinHI dippedinHI dippedinHI,simp4hxh,"2022-06-10 08:09:44,144",46,B,1,46B1,,1
LUL dippedinLOL,boss_churros,"2022-06-10 08:09:45,226",47,B,1,47B1,,1
she keeps using your government name,emerald__arrows,"2022-06-10 08:09:50,040",48,B,1,48B1,,0
lol,emerald__arrows,"2022-06-10 08:09:52,281",49,B,1,49B1,,1
hiiii mom,skullyinks,"2022-06-10 08:09:52,796",50,B,1,50B1,,1
!ptm,huf_is_here,"2022-06-10 08:09:53,181",51,B,1,51B1,,0
PETTHEMODS PETTHEMODS PETTHEMODS,streamelements,"2022-06-10 08:09:53,422",52,B,1,52B1,,1
Proud of ya Black Cherry Chut.,bigjohnbriggs,"2022-06-10 08:09:55,287",53,B,1,53B1,,1
Your pretty,anryking,"2022-06-10 08:10:06,151",54,B,1,54B1,,1
Government name?,carlos_sferreira,"2022-06-10 08:10:06,903",55,B,1,55B1,,0
she thought you could hear her screaming your name 🤣,emerald__arrows,"2022-06-10 08:10:12,890",56,B,1,56B1,,0
@divdoesthings @amethystmoon101 Hi hi hi <3,theharmpo,"2022-06-10 08:10:15,483",57,B,1,57B1,,1
"you're* @anryking
""
",jonlevir,"2022-06-10 08:10:16,921",58,B,1,58B1,,0
"oh wow that's not 391 followers that's 39.1k followers. lol I'm so dense
""
",frolicchris,"2022-06-10 08:10:17,212",59,B,1,59B1,,-1
can i steal? it fluffyy,gamergirl_5h,"2022-06-10 08:10:17,893",60,B,1,60B1,,0
🇳🇴,afrykanski_brat_demonzza,"2022-06-10 08:10:23,051",61,B,1,61B1,,0
helloitsPG helloitsPG helloitsPG helloitsPG helloitsPG,cmorrigu,"2022-06-10 08:10:30,989",62,B,1,62B1,,1
your keeping it ouigi not P.G 😂,fr0z3nfury009,"2022-06-10 08:10:34,365",63,B,1,63B1,,-1
"@emerald__arrows That's amazingly wholesome.
""
",nohvah00,"2022-06-10 08:10:37,454",64,B,1,64B1,,1
God I love ouija boards!!,bella546783,"2022-06-10 08:10:37,636",65,B,1,65B1,,1
"""hi everyone watching my daughter [insert a kiss]""",emerald__arrows,"2022-06-10 08:10:40,349",66,B,1,66B1,,1
Poison Mom is the best,jonlevir,"2022-06-10 08:10:52,092",67,B,1,67B1,,1
That smile tho,locolatino99,"2022-06-10 08:10:52,548",68,B,1,68B1,,0
nkoThink,sc2tryhard,"2022-06-10 08:11:00,694",69,B,1,69B1,,0
jon best jon @jonlevir,bigjohnbriggs,"2022-06-10 08:11:01,168",70,B,1,70B1,,1
awe momma is so sweet motherrPls,pixiierin,"2022-06-10 08:11:02,485",71,B,1,71B1,,1
sister MVP,fisheeprice,"2022-06-10 08:11:02,861",72,B,1,72B1,,1
What does MJ stands for?,carlos_sferreira,"2022-06-10 08:11:02,899",73,B,1,73B1,,0
nkoDrunk,sc2tryhard,"2022-06-10 08:11:04,702",74,B,1,74B1,,1
awww i love Poison Mom.,khmerrabbit,"2022-06-10 08:11:07,899",75,B,1,75B1,,1
"hey, Big John!",jonlevir,"2022-06-10 08:11:08,405",76,B,1,76B1,,1
a life size arcanine thats so kl,ddaabiii,"2022-06-10 08:11:08,455",77,B,1,77B1,,1
@emerald__arrows so wholesome 😭 hi mom!,kaybruh,"2022-06-10 08:11:11,849",78,B,1,78B1,,1
do we call her mother poison ?,ashleyyynicoleeeeeee,"2022-06-10 08:11:13,938",79,B,1,79B1,,0
MJ = most jaded,emerald__arrows,"2022-06-10 08:11:14,928",80,B,1,80B1,,0
@jonlevir also best ban?,bigjohnbriggs,"2022-06-10 08:11:18,571",81,B,1,81B1,,0
Mind Jabusiness,fisheeprice,"2022-06-10 08:11:18,832",82,B,1,82B1,,0
"Hello, second favorite lofi goth dippedinLOVE",thekillerbacon10,"2022-06-10 08:11:20,401",83,B,1,83B1,,1
emerald__arrows LOL,beccabeckery,"2022-06-10 08:11:21,644",84,B,1,84B1,,1
!bestban,jonlevir,"2022-06-10 08:11:29,149",85,B,1,85B1,,0
https://clips.twitch.tv/PoorModernRadicchioFailFish,streamelements,"2022-06-10 08:11:29,185",86,B,1,86B1,,0
!ptm,apalkenndream,"2022-06-10 08:11:29,290",87,B,1,87B1,,0
PETTHEMODS PETTHEMODS PETTHEMODS,streamelements,"2022-06-10 08:11:29,324",88,B,1,88B1,,1
MJ = majestic jouster,esnueil,"2022-06-10 08:11:29,324",89,B,1,89B1,,0
What is the chat rules LOL,anryking,"2022-06-10 08:11:29,378",90,B,1,90B1,,0
!ptm,champhomebody,"2022-06-10 08:11:31,345",91,B,1,91B1,,0
PETTHEMODS PETTHEMODS PETTHEMODS,streamelements,"2022-06-10 08:11:31,530",92,B,1,92B1,,1
cobymjPetthemods cobymjPetthemods,bigrontheboss19,"2022-06-10 08:11:40,694",93,B,1,93B1,,1
"Oooooohhh Poison, are you gonna get The Quarry?",nohvah00,"2022-06-10 08:11:43,692",94,B,1,94B1,,0
!ptm,amethystmoon101,"2022-06-10 08:11:46,008",95,B,1,95B1,,0
PETTHEMODS PETTHEMODS PETTHEMODS,streamelements,"2022-06-10 08:11:46,192",96,B,1,96B1,,1
pj for the MG,hpsimsa1,"2022-06-10 08:11:49,048",97,B,1,97B1,,0
cobymjPetthemods   cobymjPetthemods  cobymjPetthemods   cobymjPetthemods  cobymjPetthemods   cobymjPetthemods,theharmpo,"2022-06-10 08:11:49,698",98,B,1,98B1,,1
059 for arkanine,freebah,"2022-06-10 08:11:49,739",99,B,1,99B1,,0
"@emerald__arrows you raised a beautiful daughter who brings joy to everyone's life....
""
",mommabear0423,"2022-06-10 08:11:50,793",100,B,1,100B1,,1
Austin must be a bililon degrees today,frolicchris,"2022-06-10 08:11:52,983",101,B,1,101B1,,0
Oh we looking for Arcanine Canon sizes? Arcanine is 6 foot 2,skytutuwu,"2022-06-10 08:11:53,944",102,B,1,102B1,,0
"what's Minja Business?
""
",bigjohnbriggs,"2022-06-10 08:11:54,066",103,B,1,103B1,,0
MDipping JSaus,drachenwaffles,"2022-06-10 08:11:54,628",104,B,1,104B1,,1
!ptm,sparrocat,"2022-06-10 08:12:02,751",105,B,1,105B1,,0
PETTHEMODS PETTHEMODS PETTHEMODS,streamelements,"2022-06-10 08:12:03,370",106,B,1,106B1,,1
hru,impasta_drip5629,"2022-06-10 08:12:06,962",107,B,1,107B1,,1
"PETTHEMODS  PETTHEMODS  PETTHEMODS  (oop, used the wrong ones)",theharmpo,"2022-06-10 08:12:07,437",108,B,1,108B1,,0
