text,username,timestamp,message_id,channel_id,stream_id,unique_id,category,sentiment_a,sentiment_g,sentiment_v,sentiment_anders, 
lighter ??,adi_valvi,"2022-06-12 14:05:46,532",1,D,1,1D1,among_us,,,,,
What’s the lighter,xojessxo33,"2022-06-12 14:05:46,637",2,D,1,2D1,among_us,,,,,
Lighter!,minni_bunn,"2022-06-12 14:05:46,709",3,D,1,3D1,among_us,,,,,
time master is fun,atinyflame,"2022-06-12 14:05:46,999",4,D,1,4D1,among_us,,,,,
time master no good,grandeslices,"2022-06-12 14:05:47,997",5,D,1,5D1,among_us,,,,,
Medium,wyntery,"2022-06-12 14:05:48,033",6,D,1,6D1,among_us,,,,,
Time Master is good in non prox,followsmoke,"2022-06-12 14:05:48,033",7,D,1,7D1,among_us,,,,,
LUL,tetsuito,"2022-06-12 14:05:48,075",8,D,1,8D1,among_us,,,,,
@DisguisedToast maybe snitch cuz nobody is doing tasks?,kakadu_322,"2022-06-12 14:05:48,075",9,D,1,9D1,among_us,,,,,
guardian angellll,ghxstie7,"2022-06-12 14:05:48,155",10,D,1,10D1,among_us,,,,,
AHAHA,midnight4life,"2022-06-12 14:05:48,233",11,D,1,11D1,among_us,,,,,
medium pls,stevengomezvgc,"2022-06-12 14:05:48,326",12,D,1,12D1,among_us,,,,,
"Guardian Angel so first death isn't wasted
""
",superheror,"2022-06-12 14:05:48,923",13,D,1,13D1,among_us,,,,,
LIGHTER?,devv09,"2022-06-12 14:05:49,021",14,D,1,14D1,among_us,,,,,
YEAH LIGHTER,randomjayyy,"2022-06-12 14:05:49,086",15,D,1,15D1,among_us,,,,,
!lighter,takachishiro,"2022-06-12 14:05:49,139",16,D,1,16D1,among_us,,,,,
!uptime,xpressive,"2022-06-12 14:05:49,179",17,D,1,17D1,among_us,,,,,
OMEGALOOOOL,xluk4s_,"2022-06-12 14:05:49,535",18,D,1,18D1,among_us,,,,,
"@xPressive, disguisedtoast has been streaming for  30 mins 50 secs",streamelements,"2022-06-12 14:05:49,809",19,D,1,19D1,among_us,,,,,
KEKW,19maar,"2022-06-12 14:05:49,950",20,D,1,20D1,among_us,,,,,
TIME MASTER,ladyfelle,"2022-06-12 14:05:50,083",21,D,1,21D1,among_us,,,,,
LUL,m0rtalgm,"2022-06-12 14:05:50,798",22,D,1,22D1,among_us,,,,,
WHAT IS LIGHTER,petrichorpd,"2022-06-12 14:05:51,082",23,D,1,23D1,among_us,,,,,
LIGHTER,kris_35_35,"2022-06-12 14:05:51,137",24,D,1,24D1,among_us,,,,,
SEER .,velvet_98,"2022-06-12 14:05:51,230",25,D,1,25D1,among_us,,,,,
KEKW,mysterious_person102,"2022-06-12 14:05:51,267",26,D,1,26D1,among_us,,,,,
Seer,matthewverbeek,"2022-06-12 14:05:51,364",27,D,1,27D1,among_us,,,,,
KEKW,twinblaze1213,"2022-06-12 14:05:51,593",28,D,1,28D1,among_us,,,,,
THAT SOUNDS LIT,vempt5,"2022-06-12 14:05:51,869",29,D,1,29D1,among_us,,,,,
"it's sussy time
""
",panossn,"2022-06-12 14:05:51,981",30,D,1,30D1,among_us,,,,,
LIGHTER OR MEDIUMM,tchikuya,"2022-06-12 14:05:52,200",31,D,1,31D1,among_us,,,,,
