text,username,timestamp,message_id,channel_id,stream_id,unique_id,sentiment_a,sentiment_g
sypherPOPCORN,theframequeen,"2022-06-10 17:50:22,053",1,C,1,1C1,,1
in your nose,gucci13527,"2022-06-10 17:50:23,068",2,C,1,2C1,,0
how do i get the emote cuz there is nothing at the top of my stream,ayosheeesh,"2022-06-10 17:50:23,306",3,C,1,3C1,,0
What up,otg_dozzy,"2022-06-10 17:50:25,025",4,C,1,4C1,,1
I had a very tasty rare fillet steak tonight sypherYEP,witchwalker70,"2022-06-10 17:50:25,066",5,C,1,5C1,,1
OMEGALUL,hey_im_sunny,"2022-06-10 17:50:26,464",6,C,1,6C1,,1
Hello,haryypotterfan123,"2022-06-10 17:50:27,433",7,C,1,7C1,,1
RitzMitz,beymaryeah,"2022-06-10 17:50:33,574",8,C,1,8C1,,1
sussy,jooshy2121,"2022-06-10 17:50:34,497",9,C,1,9C1,,-1
@Witchwalker70 ima get mine lasered but not for a while,hey_im_sunny,"2022-06-10 17:50:35,989",10,C,1,10C1,,0
ehSatisfied nickmercsJAM sypherOK,thecjnasty,"2022-06-10 17:50:36,119",11,C,1,11C1,,1
sypherWAIT,ryaninferno,"2022-06-10 17:50:36,155",12,C,1,12C1,,1
OMEGALUL...... pain... nick just doesnt know,rogue__t,"2022-06-10 17:50:37,833",13,C,1,13C1,,0
MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot,tacjakku,"2022-06-10 17:50:38,845",14,C,1,14C1,,1
@JediNightSky Grimmy1 Grimmy2 Grimmy3 Grimmy4 OMEGALUL,grrimmmy,"2022-06-10 17:50:39,273",15,C,1,15C1,,1
Tidy,haryypotterfan123,"2022-06-10 17:50:43,418",16,C,1,16C1,,0
MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot,tacjakku,"2022-06-10 17:50:43,467",17,C,1,17C1,,1
found some more of nick eh 30 today TrollDespair,freyy_ily,"2022-06-10 17:50:43,581",18,C,1,18C1,,0
pepeJAMJAM,theframequeen,"2022-06-10 17:50:45,138",19,C,1,19C1,,1
sypherPOPCORN sypherPOPCORN,caelslime,"2022-06-10 17:50:45,592",20,C,1,20C1,,1
!bori,ke23mvp,"2022-06-10 17:50:46,162",21,C,1,21C1,,0
!bork,theframequeen,"2022-06-10 17:50:47,340",22,C,1,22C1,,0
6232 total borks have been counted - Only Subs can count borks!,streamelements,"2022-06-10 17:50:47,527",23,C,1,23C1,,0
"If you see a cool play or a funny moment - CLIP IT. Your clip may be featured on one of Sypher's socials!
""
",streamelements,"2022-06-10 17:50:49,317",24,C,1,24C1,,1
MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot,tacjakku,"2022-06-10 17:50:50,015",25,C,1,25C1,,1
burh,ttv_sweatedmeatballs153,"2022-06-10 17:50:50,237",26,C,1,26C1,,0
aaaaaaa,ke23mvp,"2022-06-10 17:50:50,310",27,C,1,27C1,,1
this vid looks familiar,theperson1246,"2022-06-10 17:50:50,713",28,C,1,28C1,,0
Such a great video,iam_rockin23,"2022-06-10 17:50:51,134",29,C,1,29C1,,1
i look so sexy lol,laytontheproyt,"2022-06-10 17:50:51,888",30,C,1,30C1,,1
i love the way these vids are edited LULW,leejendoc,"2022-06-10 17:50:54,471",31,C,1,31C1,,1
lol,valt_super,"2022-06-10 17:50:54,724",32,C,1,32C1,,1
bro,ttv_sweatedmeatballs153,"2022-06-10 17:50:55,501",33,C,1,33C1,,1
sypherYUNA2 📣 💢,theframequeen,"2022-06-10 17:50:56,561",34,C,1,34C1,,1
sypherCRACKED,elsalvadorean503,"2022-06-10 17:50:59,126",35,C,1,35C1,,1
!pet,grrimmmy,"2022-06-10 17:51:01,753",36,C,1,36C1,,0
Grrimmmy has pet Aegon sypherAEGON (44962 total pets) sypherAEGON,streamelements,"2022-06-10 17:51:01,929",37,C,1,37C1,,0
!pet,1009g,"2022-06-10 17:51:05,315",38,C,1,38C1,,0
!hug,grrimmmy,"2022-06-10 17:51:05,351",39,C,1,39C1,,0
Grrimmmy has hugged Yuna sypherYUNA (5665 total hugs) sypherYUNA,streamelements,"2022-06-10 17:51:05,608",40,C,1,40C1,,0
sheeeeeesh,elitheflin,"2022-06-10 17:51:05,818",41,C,1,41C1,,-1
@LeejendOC thses are the best,theframequeen,"2022-06-10 17:51:06,179",42,C,1,42C1,,1
!bork,itswalkerdavid,"2022-06-10 17:51:11,772",43,C,1,43C1,,0
MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot,tacjakku,"2022-06-10 17:51:11,807",44,C,1,44C1,,1
!kiss,grrimmmy,"2022-06-10 17:51:12,148",45,C,1,45C1,,0
Grrimmmy has given Yuna a kiss sypherYUNA (15003 total kisses) sypherYUNA,streamelements,"2022-06-10 17:51:12,339",46,C,1,46C1,,0
!rub,rogue__t,"2022-06-10 17:51:12,699",47,C,1,47C1,,0
rogue__t has given Aiko a belly rub sypherAIKO (34393 total belly rubs) sypherAIKO,streamelements,"2022-06-10 17:51:12,880",48,C,1,48C1,,0
Hi,bobo_champ,"2022-06-10 17:51:14,352",49,C,1,49C1,,1
i am a big fan CoolCat,kritacal,"2022-06-10 17:51:16,180",50,C,1,50C1,,1
LMAO,ryaninferno,"2022-06-10 17:51:16,290",51,C,1,51C1,,1
LULW,leejendoc,"2022-06-10 17:51:17,398",52,C,1,52C1,,1
MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot MechaRobot,tacjakku,"2022-06-10 17:51:17,557",53,C,1,53C1,,1
😭 sunny,theframequeen,"2022-06-10 17:51:58,619",54,C,1,54C1,,1
once again does it look like im made of money over here,hey_im_sunny,"2022-06-10 17:52:01,337",55,C,1,55C1,,0
im not yash,hey_im_sunny,"2022-06-10 17:52:03,979",56,C,1,56C1,,0
my man got rick rolled,elitheflin,"2022-06-10 17:52:06,595",57,C,1,57C1,,0
sypherAHH,elsalvadorean503,"2022-06-10 17:52:11,813",58,C,1,58C1,,1
lol,elitheflin,"2022-06-10 17:52:15,990",59,C,1,59C1,,1
KEKWHAT,yashv7,"2022-06-10 17:52:17,666",60,C,1,60C1,,1
@bfranks88 noted! I drink alot of seltzer and my fair share of rum... i could see it being good with the sweet and sour too... will give it a shot,rogue__t,"2022-06-10 17:52:19,291",61,C,1,61C1,,1
TrollDespair,freyy_ily,"2022-06-10 17:52:26,661",62,C,1,62C1,,-1
ResidentSleeper,elsalvadorean503,"2022-06-10 17:52:28,147",63,C,1,63C1,,-1
yash paying for sunnys lasic how sweet POGGIES,theframequeen,"2022-06-10 17:52:30,896",64,C,1,64C1,,1
OMEGALUL,ke23mvp,"2022-06-10 17:52:34,257",65,C,1,65C1,,1
"I do like wearing glasses just glad they don't look like jam jar bottoms now
""
",witchwalker70,"2022-06-10 17:52:36,363",66,C,1,66C1,,0
FeelsGoodMan,hey_im_sunny,"2022-06-10 17:52:36,453",67,C,1,67C1,,1
LULW,freyy_ily,"2022-06-10 17:52:37,826",68,C,1,68C1,,1
sypherWUT,shamelesskl,"2022-06-10 17:52:41,191",69,C,1,69C1,,1
I see sypherWUT I type sypherWUT,streamelements,"2022-06-10 17:52:41,291",70,C,1,70C1,,1
